group,sample_id,Unified,Monocot,Dicot
Monocots in - In-distribution Test,Millet_Olympus_Exp6_5-6cm__80,0.839957,0.877071,0.606843
Monocots in - In-distribution Test,Rice_C10_Exp10_PSY9-4-b,0.922029,0.922086,0.544229
Monocots in - In-distribution Test,Rice_C10_Exp10_PSY9-4-c,0.941671,0.937543,0.652643
Monocots in - In-distribution Test,Rice_C10_Exp10_PSY9-4-d,0.932600,0.930986,0.641257
Monocots in - In-distribution Test,Rice_C10_Exp7_PSY17-4-a,0.876557,0.875343,0.636900
Monocots in - In-distribution Test,Rice_C10_Exp7_PSY17-4-b,0.846186,0.847386,0.633557
Monocots in - In-distribution Test,Rice_C10_Exp7_PSY17-4-d,0.908329,0.905314,0.642014
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_01,0.902729,0.900586,0.559143
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_02,0.911571,0.910986,0.533386
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_03,0.900300,0.902629,0.535700
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_04,0.889914,0.883286,0.574429
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_05,0.856900,0.848571,0.530686
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_06,0.909600,0.904986,0.598771
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_3_01,0.934971,0.931700,0.693900
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_3_04,0.929086,0.922886,0.687357
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_3_05,0.935486,0.926643,0.692200
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_3_06,0.937986,0.936471,0.721014
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_4_01,0.932471,0.930471,0.681457
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_4_02,0.924986,0.923486,0.703286
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_4_04,0.935329,0.933100,0.653657
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_4_05,0.915257,0.919500,0.681657
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_4_06,0.933614,0.932900,0.706271
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_01,0.882843,0.862571,0.585429
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_02,0.859857,0.868086,0.683400
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_03,0.845671,0.877614,0.590643
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_04,0.843829,0.829643,0.601400
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_05,0.851914,0.851843,0.639957
